"Date","Leaders","Place","Participating Officials","Officials Rank","Description","Resources"
"1988/11/03 - 1988/11/07","Deng Xiaoping/Kim Il-sung","China","Kim Yong-nam (金永南) and Zhao Ziyang (赵紫阳)","Vice Premier and Minister of Foreign Affairs (朝鲜民主主义人民共和国政务院副总理兼外长) and General Secretary of Communist Party of China (中国共产党中央委员会总书记)","Goodwill Visit (official)","http://www.ziliaoku.org/rmrb/1988-11-06-1#812008"
"1989/04/24 - 1989/04/29","Deng Xiaoping/Kim Il-sung","North Korea","Zhao Ziyang (赵紫阳) and Kim Il-sung (金日成)","General Secretary of Communist Party of China (中国共产党中央委员会总书记) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","State Visit: Official friendly visit","http://www.ziliaoku.org/rmrb/1989-04-24-1#827845"
"1989/09/07","Deng Xiaoping/Kim Il-sung","China","Son Sung-pil (孙圣弼) and Wan Li (万里)","Vice President of Supreme People's Assembly (朝鲜最高人民会议副议长) and Chairman of the Standing Committee of the National People's Congress (中华人民共和国全国人民代表大会常务委员会委员长)","Goodwill Visit: Supreme People's Assembly delegation","http://www.ziliaoku.org/rmrb/1989-09-07-1#838978"
"1989/11/05 - 1989/11/07","Deng Xiaoping/Kim Il-sung","China","Kim Il-sung (金日成) and Deng Xiaoping (邓小平)","General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记) and Chairman of Central Advisory Commission (中国共产党中央顾问委员会主任)","Summit Meeting: Informal visit, Deng informed Kim of his retirement","http://business.sohu.com/20111012/n321910103.shtml"
"1990/03/14 - 1990/03/16","Jiang Zemin/Kim Il-sung","North Korea","Jiang Zemin (江泽民) and Kim Il-sung (金日成)","General Secretary of Communist Party of China (中国共产党中央委员会总书记) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Summit Meeting: Official friendly visit, Jiang's first visit to North Korea since becoming General Secretary","http://www.ziliaoku.org/rmrb/1990-03-15-1#863128"
"1990/04/12","Jiang Zemin/Kim Il-sung","China","Kim Yong-nam (金永南) and Qian Qichen (钱其琛)","Vice Premier and Minister of Foreign Affairs (朝鲜民主主义人民共和国政务院副总理兼外长) and State Councilor and Minister of Foreign Affairs (国务委员兼外长)","Goodwill Visit","http://www.ziliaoku.org/rmrb/1990-04-13-2#865748"
"1990/08/23","Jiang Zemin/Kim Il-sung","North Korea","Qin Jiwei (秦基伟) and O Jin-u (吴振宇)","State Councilor and Minister of Defense (国务委员兼国防部长) and Member of Central Committee of the Workers' Party of Korea and Minister of People's Armed Forces (朝鲜劳动党中央政治局常委、朝鲜人民武装力量部部长)","Anniversary Visit: 40th anniversary of the Korean War","http://www.ziliaoku.org/rmrb/1990-08-24-6#879753"
"1990/10/06 - 1990/10/13","Jiang Zemin/Kim Il-sung","North Korea","Song Ping (宋平) and Kim Il-sung (金日成)","Member of the Politburo Standing Committee of Communist Party of China (中国共产党中央政治局常务委员会委员) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Anniversary Visit: 45th anniversary of the founding of the Democratic People's Republic of Korea","http://www.ziliaoku.org/rmrb/1990-10-08-6#851160"
"1990/11/10","Jiang Zemin/Kim Il-sung","China","Kim Yang-gon (金养建) and Song Ping (宋平)","Director of International Affairs Department of Workers' Party of Korea (朝鲜劳动党中央国际部代表) and Member of the Politburo Standing Committee of the Communist Party of China (中共中央政治局常委)","Goodwill Visit: Workers' Party of Korea delegation","http://www.ziliaoku.org/rmrb/1990-11-11-1#854660"
"1990/11/23 - 1990/11/28","Jiang Zemin/Kim Il-sung","China","Yon Hyong-muk (延亨默) and Li Peng (李鹏)","Premier (朝鲜民主主义人民共和国政务院总理) and Premier (中华人民共和国国务院总理)","State Visit: Official visit","http://www.ziliaoku.org/rmrb/1990-11-23-1#855965"
"1991/05/03 - 1991/05/06","Jiang Zemin/Kim Il-sung","North Korea","Li Peng (李鹏) and Kim Il-sung (金日成)","Premier (中华人民共和国国务院总理) and President (朝鲜民主主义人民共和國主席)","State Visit: Official friendly visit, discussed the entry of the two Koreas into the United Nations","http://202.201.7.26/adksvod/vodText/62117/info.html"
